label,message
spam,Su paquete número 9 está retenido en aduanas. Complete el formulario adjunto para evitar cargos adicionales y permitir la liberación inmediata de su envío.
spam,"Su cuenta ha sido temporalmente bloqueada por seguridad. Para reactivarla, confirme sus credenciales en el formulario seguro de verificacion-93.com antes de 24 horas."
spam,"Estimado cliente 75, su cuenta bancaria presenta movimientos sospechosos. Por favor verifique sus datos en el enlace seguro proporcionado para evitar la suspensión de su cuenta."
ham,Esta noche cenaremos con mis padres 86 y sería muy especial que puedas acompañarnos. Mi mamá preparó tu plato favorito y están emocionados de verte.
ham,"¿Podemos vernos esta tarde 75 después de clases? Me gustaría aclarar lo que pasó ayer, ya que es importante para mí que estemos bien."
ham,"Hola 55, te escribo para confirmar que mañana a las diez tenemos la exposición final del curso de programación. Nos vemos una hora antes para repasar."
spam,Su paquete número 35 está retenido en aduanas. Complete el formulario adjunto para evitar cargos adicionales y permitir la liberación inmediata de su envío.
spam,Invierte en criptomonedas de forma segura con nuestro sistema de auto-trading versión 95. Descubra cómo cientos de personas están generando ingresos pasivos aquí.
spam,Invierte en criptomonedas de forma segura con nuestro sistema de auto-trading versión 10. Descubra cómo cientos de personas están generando ingresos pasivos aquí.
ham,"¿Podemos vernos esta tarde 37 después de clases? Me gustaría aclarar lo que pasó ayer, ya que es importante para mí que estemos bien."
spam,Nuestro sistema detectó accesos no autorizados a su cuenta. Proteja sus datos siguiendo los pasos indicados en el enlace de seguridad-48.com de inmediato.
ham,"Hola 41, te escribo para confirmar que mañana a las diez tenemos la exposición final del curso de programación. Nos vemos una hora antes para repasar."
spam,Su paquete número 41 está retenido en aduanas. Complete el formulario adjunto para evitar cargos adicionales y permitir la liberación inmediata de su envío.
spam,"¡Gana dinero fácil desde casa! Regístrese en nuestra plataforma número 45 para acceder a ingresos automáticos diarios. No pierda esta oportunidad, ingrese ya."
spam,"Estimado cliente 86, su cuenta bancaria presenta movimientos sospechosos. Por favor verifique sus datos en el enlace seguro proporcionado para evitar la suspensión de su cuenta."
ham,"¿Podemos vernos esta tarde 93 después de clases? Me gustaría aclarar lo que pasó ayer, ya que es importante para mí que estemos bien."
spam,Invierte en criptomonedas de forma segura con nuestro sistema de auto-trading versión 67. Descubra cómo cientos de personas están generando ingresos pasivos aquí.
ham,"Hola amor 92, solo quería recordarte cuánto te quiero y que estoy deseando verte esta noche para nuestra cena especial en el restaurante."
spam,Oferta exclusiva para cliente 22: Compre ahora cualquier producto tecnológico y reciba uno adicional completamente gratis. Esta promoción vence hoy.
ham,"Hola 47, te escribo para confirmar que mañana a las diez tenemos la exposición final del curso de programación. Nos vemos una hora antes para repasar."
ham,Esta noche cenaremos con mis padres 100 y sería muy especial que puedas acompañarnos. Mi mamá preparó tu plato favorito y están emocionados de verte.
spam,"Estimado cliente 14, su cuenta bancaria presenta movimientos sospechosos. Por favor verifique sus datos en el enlace seguro proporcionado para evitar la suspensión de su cuenta."
spam,Acceda a apuestas deportivas con bonos exclusivos en nuestra nueva plataforma 41. Gane dinero rápido apostando desde su celular en www.apuestas-41.com.
spam,Acceda a apuestas deportivas con bonos exclusivos en nuestra nueva plataforma 40. Gane dinero rápido apostando desde su celular en www.apuestas-40.com.
ham,"¿Podemos vernos esta tarde 44 después de clases? Me gustaría aclarar lo que pasó ayer, ya que es importante para mí que estemos bien."
ham,"Por favor 38, revisa los documentos del proyecto de ingeniería antes de la reunión de mañana. Es importante tener todo listo para la presentación."
ham,"Hola 86, espero que hayas tenido un gran día. Nos vemos mañana para almorzar juntos y conversar sobre el proyecto de la universidad."
spam,Su paquete número 2 está retenido en aduanas. Complete el formulario adjunto para evitar cargos adicionales y permitir la liberación inmediata de su envío.
ham,"Por favor 85, revisa los documentos del proyecto de ingeniería antes de la reunión de mañana. Es importante tener todo listo para la presentación."
ham,"Recordatorio 27: La reunión familiar será este fin de semana en casa de la abuela. Llevaremos las bebidas y postres, no faltes por favor."
ham,Esta noche cenaremos con mis padres 26 y sería muy especial que puedas acompañarnos. Mi mamá preparó tu plato favorito y están emocionados de verte.
ham,"Hola 44, te escribo para confirmar que mañana a las diez tenemos la exposición final del curso de programación. Nos vemos una hora antes para repasar."
ham,El partido de fútbol entre amigos número 28 será este sábado en la cancha del parque a las cinco. No olvides tus chimpunes y avisa a los demás.
ham,Esta noche cenaremos con mis padres 84 y sería muy especial que puedas acompañarnos. Mi mamá preparó tu plato favorito y están emocionados de verte.
ham,"¿Podemos vernos esta tarde 72 después de clases? Me gustaría aclarar lo que pasó ayer, ya que es importante para mí que estemos bien."
ham,"Hola 9, espero que hayas tenido un gran día. Nos vemos mañana para almorzar juntos y conversar sobre el proyecto de la universidad."
spam,"Estimado cliente 69, su cuenta bancaria presenta movimientos sospechosos. Por favor verifique sus datos en el enlace seguro proporcionado para evitar la suspensión de su cuenta."
spam,Invierte en criptomonedas de forma segura con nuestro sistema de auto-trading versión 69. Descubra cómo cientos de personas están generando ingresos pasivos aquí.
ham,"Recordatorio 78: La reunión familiar será este fin de semana en casa de la abuela. Llevaremos las bebidas y postres, no faltes por favor."
